Time,Val MAE,Val RMSE,Val ARD,Val De1,Val De2,Val De3,Epoch Num,LRate,Beta1,Bch_sz,LossF,H-Reso,W-Reso,DP_weight
11_33_d_20_12_2023,4.09,8.55,0.1632,85.45,92.39,95.20,3,0.0001,0.9,1,L1+TV+DP,416,960,0.0001
12_12_d_20_12_2023,4.12,8.56,0.1629,85.47,92.21,95.14,3,0.0001,0.9,1,L1+TV+DP,416,960,0.0001
12_51_d_20_12_2023,4.08,8.68,0.1572,85.32,92.03,94.93,3,0.0001,0.9,1,L1+TV+DP,416,960,0.0001
14_10_d_20_12_2023,4.03,8.59,0.1593,85.84,92.31,95.13,3,0.0001,0.9,1,L1+TV+DP,416,960,0.0001
15_29_d_20_12_2023,4.11,8.71,0.1550,85.62,92.19,95.06,3,0.0001,0.9,1,L1+TV+DP,416,960,0.0001
16_09_d_20_12_2023,4.11,8.59,0.1664,85.30,92.20,95.05,3,0.0001,0.9,1,L1+TV+DP,416,960,0.0001
16_49_d_20_12_2023,4.03,8.63,0.1540,85.71,92.27,95.12,3,0.0001,0.9,1,L1+TV+DP,416,960,0.0001
12_17_d_21_12_2023,4.14,8.66,0.1627,84.93,92.26,95.23,3,0.0001,0.9,1,L1+TV,416,960,0.0001
12_51_d_21_12_2023,4.09,8.80,0.1546,85.57,92.18,95.09,3,0.0001,0.9,1,L1+TV,416,960,0.0001
13_25_d_21_12_2023,4.16,8.65,0.1657,84.86,91.94,94.95,3,0.0001,0.9,1,L1+TV,416,960,0.0001
13_59_d_21_12_2023,4.17,8.68,0.1590,85.26,92.10,94.99,3,0.0001,0.9,1,L1+TV,416,960,0.0001
14_29_d_21_12_2023,4.07,8.68,0.1538,85.72,92.21,95.08,3,0.0001,0.9,1,L1+TV,416,960,0.0001
15_29_d_21_12_2023,4.23,8.71,0.1742,85.16,92.12,95.00,3,0.0001,0.9,1,L1+TV,416,960,0.0001
16_00_d_21_12_2023,4.18,8.81,0.1598,85.17,92.00,94.92,3,0.0001,0.9,1,L1+TV,416,960,0.0001
09_31_d_22_12_2023,4.12,8.59,0.1632,85.89,92.42,95.24,3,0.0001,0.9,1,L1+TV+DP,416,960,0.0005
10_09_d_22_12_2023,4.17,8.69,0.1619,85.07,92.17,95.19,3,0.0001,0.9,1,L1+TV+DP,416,960,0.0005
10_47_d_22_12_2023,4.13,8.69,0.1577,85.81,92.34,95.08,3,0.0001,0.9,1,L1+TV+DP,416,960,0.0005
12_06_d_22_12_2023,4.02,8.57,0.1568,85.80,92.45,95.28,3,0.0001,0.9,1,L1+TV+DP,416,960,0.0005
12_45_d_22_12_2023,4.09,8.62,0.1679,85.26,92.06,94.97,3,0.0001,0.9,1,L1+TV+DP,416,960,0.0005
13_25_d_22_12_2023,4.05,8.61,0.1608,85.41,92.11,95.02,3,0.0001,0.9,1,L1+TV+DP,416,960,0.0005
14_05_d_22_12_2023,4.16,8.68,0.1629,85.41,92.19,95.10,3,0.0001,0.9,1,L1+TV+DP,416,960,0.0005
14_44_d_22_12_2023,4.04,8.65,0.1545,86.05,92.48,95.37,3,0.0001,0.9,1,L1+TV+DP,416,960,0.0005
19_58_d_01_01_2024,3.75,8.45,0.1384,87.61,93.30,95.62,6,0.0001,0.9,1,L1+TV+DP,416,960,0.0001
21_19_d_01_01_2024,3.75,8.48,0.1394,87.53,93.02,95.53,6,0.0001,0.9,1,L1+TV+DP,416,960,0.0001
